Date,Time,Temperature (F),Wind Speed (mph),Wind Direction,Max Wind Gust (mph),Avg Solar Rad (Cal/cm2/min),Avg Quantum (uE/sec/m2),Water Temp (F),Rainfall (In)
10/30/15,24:00:00,26.8,6.42,35,9.6,0,0,27.5,0
10/31/15,1:00:00,26.7,7.32,32,10.04,0,0,27.3,0
10/31/15,2:00:00,26.5,7.04,30,9.43,0,0,27.3,0
10/31/15,3:00:00,26.6,7.53,27,11.07,0,0,27.3,0
10/31/15,4:00:00,26.7,7.7,46,16.07,0,0,27.3,0
10/31/15,5:00:00,26.2,8.88,88,16.77,0,0,27.3,0.08
10/31/15,6:00:00,26.8,7.93,87,10.83,0,0,27.2,0
10/31/15,7:00:00,26.8,8.03,85,11.55,0,9,27.1,0
10/31/15,8:00:00,26.9,9.8,70,12.52,0.013,78,27,0
10/31/15,9:00:00,27.2,9.37,77,12.65,0.249,367,27.1,0
10/31/15,10:00:00,27.2,10.94,82,15.72,0.137,257,27.1,0.01
10/31/15,11:00:00,25.2,4.54,210,11.88,0.285,418,27.2,0.17
10/31/15,12:00:00,26.8,1,203,3.4,0.595,759,27.2,0
10/31/15,13:00:00,27,3.83,318,6.84,0.55,716,27.2,0
10/31/15,14:00:00,27.2,3.96,327,6.73,0.587,753,27.2,0
10/31/15,15:00:00,27.8,2.87,334,5.35,0.646,799,27.2,0
10/31/15,16:00:00,27.6,6.37,17,12.87,0.261,390,27.1,0
10/31/15,17:00:00,27.3,11.6,72,14.42,0.032,125,27.2,0
10/31/15,18:00:00,27.2,11.07,74,14.14,0,21,27.5,0
10/31/15,19:00:00,27,8.61,89,11.64,0,0,27.4,0
10/31/15,20:00:00,26.9,4.97,123,9.32,0,0,27.5,0
10/31/15,21:00:00,26.9,3.34,122,8.4,0,0,27.5,0
10/31/15,22:00:00,27,6.57,84,8.72,0,0,27.5,0
10/31/15,23:00:00,26.9,5.71,75,9.21,0,0,27.5,0
10/31/15,24:00:00,26.9,6.96,51,8.86,0,0,27.4,0
11/1/15,1:00:00,26.8,8.92,57,14.71,0,0,27.3,0
11/1/15,2:00:00,26.4,8.29,112,15.17,0,0,27.2,0.01
11/1/15,3:00:00,26,4.86,139,9.29,0,0,27.3,0
11/1/15,4:00:00,26.6,8.28,94,12.19,0,0,27.3,0
11/1/15,5:00:00,26.7,9.37,88,12.95,0,0,27.3,0
11/1/15,6:00:00,26.6,8.17,88,12.49,0,0,27.3,0
11/1/15,7:00:00,26.4,5.01,108,12.01,0,8,27.3,0
11/1/15,8:00:00,26.2,0.91,206,2.89,0.016,95,27.3,0
11/1/15,9:00:00,27.1,1.66,169,9.12,0.517,624,27.3,0
11/1/15,10:00:00,27.5,9.75,90,13.79,0.871,1015,27.3,0
11/1/15,11:00:00,27.5,8.37,69,13.39,1.016,1173,27.3,0
11/1/15,12:00:00,27.6,7.51,69,12.95,0.803,955,27.3,0
11/1/15,13:00:00,27.6,8.65,85,11.92,0.793,942,27.4,0
11/1/15,14:00:00,27.8,6.57,61,9.18,1.074,1230,27.6,0
11/1/15,15:00:00,28.1,4.61,61,8.75,0.488,630,27.6,0
11/1/15,16:00:00,28.1,4.13,69,6.86,0.34,460,27.5,0
11/1/15,17:00:00,27.6,4.98,79,8.42,0.093,186,27.4,0
11/1/15,18:00:00,27.3,6.66,63,8.88,0,30,27.3,0
11/1/15,19:00:00,27.1,5.72,79,7.52,0,0,27.4,0
11/1/15,20:00:00,26.9,2.99,150,6.42,0,0,27.4,0
11/1/15,21:00:00,26.4,2.49,172,8.94,0,0,27.2,0
11/1/15,22:00:00,26.9,7.02,122,13.46,0,0,27.2,0
11/1/15,23:00:00,26.8,7.69,116,14.93,0,0,27.5,0
11/1/15,24:00:00,26.7,5.03,122,13.66,0,0,27.5,0
11/2/15,1:00:00,26.2,1.6,166,8.24,0,0,27.4,0
11/2/15,2:00:00,26,2.14,204,5.98,0,0,27.3,0
11/2/15,3:00:00,25.4,0.71,228,3.64,0,0,27.3,0
11/2/15,4:00:00,25.7,6.49,92,11.29,0,0,27.2,0
11/2/15,5:00:00,25.4,4.26,156,11.51,0,0,27.2,0
11/2/15,6:00:00,25.2,1.53,249,5.24,0,0,27.1,0
11/2/15,7:00:00,24.9,1.86,234,4.25,0,7,27.1,0
11/2/15,8:00:00,26.5,1.13,184,3.48,0.126,205,27.1,0
11/2/15,9:00:00,28,0.86,53,7.08,0.464,572,27.1,0
11/2/15,10:00:00,27.2,10.37,99,17.21,0.71,844,27.1,0
11/2/15,11:00:00,27.3,10.91,91,14.93,1.124,1271,27.2,0
11/2/15,12:00:00,27.5,9.19,79,12.91,1.26,1412,27.2,0
11/2/15,13:00:00,27.5,8,69,11.22,1.301,1460,27.3,0
11/2/15,14:00:00,27.4,8.63,66,12.54,1.058,1215,27.4,0
11/2/15,15:00:00,27.2,9.31,54,12.95,0.292,422,27.6,0
11/2/15,16:00:00,27.2,11.64,68,15.61,0.141,254,27.7,0
11/2/15,17:00:00,27.2,12.9,70,16.51,0.085,178,27.8,0
11/2/15,18:00:00,27.2,12.38,64,15.43,0,17,27.7,0
11/2/15,19:00:00,27.2,12.2,65,16.31,0,0,27.6,0
11/2/15,20:00:00,27.1,11.85,62,15.74,0,0,27.5,0
11/2/15,21:00:00,27.1,12.99,65,16.81,0,0,27.4,0
11/2/15,22:00:00,27.1,14.41,71,18.85,0,0,27.4,0
11/2/15,23:00:00,27,13.35,75,16.83,0,0,27.4,0
11/2/15,24:00:00,27,13.12,75,17.67,0,0,27.4,0
11/3/15,1:00:00,26.9,13.45,81,17.47,0,0,27.3,0
11/3/15,2:00:00,26.8,12.46,84,16.72,0,0,27.3,0
11/3/15,3:00:00,26.7,10.2,78,14.18,0,0,27.3,0
11/3/15,4:00:00,26.6,10.49,92,15.48,0,0,27.2,0
11/3/15,5:00:00,26.6,11.28,101,16.46,0,0,27.2,0
11/3/15,6:00:00,26.5,11.46,89,17.05,0,0,27.1,0
11/3/15,7:00:00,26.5,12.96,81,16.86,0,9,27.1,0
11/3/15,8:00:00,26.8,13.17,77,16.55,0.176,249,27.1,0
11/3/15,9:00:00,27.2,12.17,76,16,0.541,652,27.2,0
11/3/15,10:00:00,27.3,12.96,73,16.94,0.824,956,27.2,0
11/3/15,11:00:00,27.3,12.72,71,16.79,0.939,1082,27.2,0
11/3/15,12:00:00,27.4,14.15,71,17.93,1.071,1217,27.3,0
11/3/15,13:00:00,27.4,13.65,70,17.14,1.088,1246,27.4,0
11/3/15,14:00:00,27.4,12.69,72,16.48,1.081,1234,27.5,0
11/3/15,15:00:00,27.4,13.99,62,18.59,0.935,1080,27.5,0
11/3/15,16:00:00,27.1,14.98,56,18.83,0.284,400,27.6,0
11/3/15,17:00:00,27.1,15.4,56,19.66,0.108,203,27.6,0
11/3/15,18:00:00,26.9,14.7,56,18.7,0.002,36,27.5,0
11/3/15,19:00:00,26.8,14.87,55,19.03,0,0,27.4,0
11/3/15,20:00:00,26.8,14.37,54,21.42,0,0,27.3,0
11/3/15,21:00:00,26.7,13.98,53,19.82,0,0,27.2,0
11/3/15,22:00:00,26.2,13.74,47,22.2,0,0,27,0.01
11/3/15,23:00:00,26.3,13.87,55,24.11,0,0,26.9,0.02
11/3/15,24:00:00,25.9,10.86,52,19.99,0,0,26.8,0.02
11/4/15,1:00:00,26.5,12.97,56,17.23,0,0,26.8,0
11/4/15,2:00:00,26.5,15.01,58,20.76,0,0,26.7,0
11/4/15,3:00:00,26.4,15.03,55,19.44,0,0,26.7,0
11/4/15,4:00:00,26.4,12.7,56,17.73,0,0,26.7,0
11/4/15,5:00:00,26.4,12.76,55,18.65,0,0,26.7,0
11/4/15,6:00:00,26.4,12.91,58,17.4,0,0,26.7,0
11/4/15,7:00:00,26.2,13.26,43,20.63,0,8,26.4,0
11/4/15,8:00:00,26.4,12.74,47,18.15,0.066,129,25.8,0
11/4/15,9:00:00,26.8,13.3,53,17.6,0.436,542,25.8,0
11/4/15,10:00:00,27.1,13.6,56,18.85,0.81,940,26.5,0
11/4/15,11:00:00,27,13.63,59,17.93,1.056,1189,26.7,0
11/4/15,12:00:00,27,14.43,56,19.49,1.246,1376,26.9,0
11/4/15,13:00:00,27,15.31,53,20.41,1.24,1370,27,0
11/4/15,14:00:00,27,14.97,34,24.42,0.981,1117,27.1,0
11/4/15,15:00:00,26.9,15.79,30,20.58,0.697,830,27.2,0
11/4/15,16:00:00,26.8,15.11,28,19.75,0.206,322,27.2,0
11/4/15,17:00:00,26.7,13.83,31,18.19,0.03,125,27.1,0
11/4/15,18:00:00,26.7,13.13,33,17.71,0,26,27.1,0
11/4/15,19:00:00,26.2,13.24,31,19.66,0,0,27,0
11/4/15,20:00:00,26.2,13.71,35,20.01,0,0,26.6,0
11/4/15,21:00:00,26.3,11.73,39,17.29,0,0,26.3,0
11/4/15,22:00:00,26,8.12,52,15.85,0,0,26.2,0.12
11/4/15,23:00:00,26.3,11.97,50,20.3,0,0,26.4,0.01
11/4/15,24:00:00,26.2,12.01,41,18.19,0,0,26,0
11/5/15,1:00:00,26.3,11.28,49,15.98,0,0,25.9,0
11/5/15,2:00:00,26.4,12.09,47,17.34,0,0,26,0
11/5/15,3:00:00,25.7,12.17,43,20.87,0,0,26.1,0
11/5/15,4:00:00,25.7,11.14,50,20.25,0,0,25.9,0
11/5/15,5:00:00,25.5,11.95,47,23.52,0,0,26.2,0
11/5/15,6:00:00,25.6,13.43,55,20.89,0,0,26.3,0.02
11/5/15,7:00:00,25.6,12.46,60,19.29,0,3,26.4,0.02
11/5/15,8:00:00,25.8,14.3,63,20.58,0.022,94,26.5,0
11/5/15,9:00:00,25.8,15.28,62,22.01,0.133,237,26.6,0
11/5/15,10:00:00,26,12.55,58,19.57,0.287,414,26.6,0
11/5/15,11:00:00,26.5,13.59,44,23.3,0.343,484,26.6,0
11/5/15,12:00:00,26.7,16.81,53,22.45,0.559,722,26.6,0
11/5/15,13:00:00,26.9,16.66,59,21.92,0.851,1018,26.7,0
11/5/15,14:00:00,26.9,15.52,59,21.44,0.68,831,26.8,0
11/5/15,15:00:00,27,14.97,63,20.23,0.764,908,26.9,0
11/5/15,16:00:00,26.9,13.9,43,20.23,0.255,376,26.9,0
11/5/15,17:00:00,26.8,12.89,39,18.79,0.03,120,27,0
11/5/15,18:00:00,26.7,12.69,35,18.17,0,22,27,0
11/5/15,19:00:00,26.5,12.07,33,16.09,0,0,26.9,0
11/5/15,20:00:00,26,13.23,25,21.55,0,0,26.7,0.04
11/5/15,21:00:00,26.5,11.79,46,17.03,0,0,26.6,0
11/5/15,22:00:00,26.6,12.4,45,18,0,0,26.4,0
11/5/15,23:00:00,26.5,11.36,45,16.4,0,0,26.3,0
11/5/15,24:00:00,26.4,10.69,36,18.02,0,0,26.2,0
11/6/15,1:00:00,26.3,12.88,41,18.9,0,0,25.8,0
11/6/15,2:00:00,26.4,11.8,46,18.04,0,0,25.8,0
11/6/15,3:00:00,26.2,9.47,40,15.04,0,0,25.7,0
11/6/15,4:00:00,26.1,9.5,39,12.58,0,0,25.5,0
11/6/15,5:00:00,26.1,9.15,35,12.3,0,0,25.4,0
11/6/15,6:00:00,26,8.91,31,12.76,0,0,25.3,0
11/6/15,7:00:00,26.1,9.08,31,13.63,0,5,25.2,0
11/6/15,8:00:00,26.4,8.73,40,12.91,0.113,184,25.1,0
11/6/15,9:00:00,26.7,9.73,43,13.57,0.473,580,25.5,0
11/6/15,10:00:00,26.9,11.39,56,15.61,0.859,983,26,0
11/6/15,11:00:00,27,13.27,61,18.87,1.022,1161,26.5,0
11/6/15,12:00:00,27,13.59,66,17.47,1.069,1217,26.7,0
11/6/15,13:00:00,27,15.43,68,20.14,1.073,1231,26.8,0
11/6/15,14:00:00,26.7,16.21,69,22.18,0.902,1056,26.8,0
11/6/15,15:00:00,26.7,17.57,63,25.19,0.711,854,26.9,0
11/6/15,16:00:00,26.9,17.4,55,22.62,0.572,698,26.9,0
11/6/15,17:00:00,26.9,16.76,53,22.49,0.237,333,26.9,0
11/6/15,18:00:00,26.7,16.71,38,23.21,0,25,26.8,0
11/6/15,19:00:00,26.7,15.78,41,23.96,0,0,26.7,0
11/6/15,20:00:00,25.9,17.43,29,28.28,0,0,26.6,0
11/6/15,21:00:00,25.7,16.62,37,26.22,0,0,26.3,0.01
11/6/15,22:00:00,26,17.31,38,25.19,0,0,26.1,0
11/6/15,23:00:00,25.9,15.42,35,22.6,0,0,25.8,0.03
11/6/15,24:00:00,26,15.97,37,22.36,0,0,25.6,0
11/7/15,1:00:00,26,17.22,39,24.24,0,0,25.7,0
11/7/15,2:00:00,25.8,15.62,34,23.61,0,0,25.5,0
11/7/15,3:00:00,25.3,17.14,30,24.46,0,0,25.5,0
11/7/15,4:00:00,25.1,14.59,30,21.26,0,0,25.5,0
11/7/15,5:00:00,25.2,15.9,26,25.1,0,0,25.5,0.01
11/7/15,6:00:00,24.5,15.09,35,25.82,0,0,25.9,0.08
11/7/15,7:00:00,24.5,14.72,26,25.08,0,3,25.8,0.01
11/7/15,8:00:00,25,14.36,47,23.45,0.067,138,25.8,0.02
11/7/15,9:00:00,24.9,15.63,63,27.22,0.144,244,26.1,0.05
11/7/15,10:00:00,24.7,15.72,64,24.44,0.362,501,26.3,0.02
11/7/15,11:00:00,24.7,18.38,51,28.23,0.377,527,26.4,0.03
11/7/15,12:00:00,25.4,16.33,56,23.56,0.471,628,26.3,0
11/7/15,13:00:00,25.7,15.77,40,24.29,0.591,751,26.4,0.01
11/7/15,14:00:00,26.1,17.43,63,25.25,0.489,644,26.5,0.02
11/7/15,15:00:00,26.7,19.01,65,25.51,0.382,517,26.4,0
11/7/15,16:00:00,26.9,17.81,55,22.84,0.642,767,26.4,0
11/7/15,17:00:00,26.6,18.33,53,24.38,0.18,277,26.4,0
11/7/15,18:00:00,26.5,17.32,55,24.05,0,24,26.4,0
11/7/15,19:00:00,26.2,14.92,52,20.06,0,0,26.3,0
11/7/15,20:00:00,26.4,15.96,55,21.44,0,0,26.3,0
11/7/15,21:00:00,26.4,15.76,52,21.17,0,0,26.2,0
11/7/15,22:00:00,26.4,16.49,58,21.94,0,0,26.2,0
11/7/15,23:00:00,26.2,15.17,50,19.38,0,0,26.1,0
11/7/15,24:00:00,26.2,15.29,55,20.47,0,0,26,0
11/8/15,1:00:00,25.6,13.65,45,24.2,0,0,25.7,0.02
11/8/15,2:00:00,25.1,14.28,41,20.41,0,0,25.3,0
11/8/15,3:00:00,24.9,16.39,37,22.03,0,0,25.2,0.01
11/8/15,4:00:00,25,12.27,39,20.14,0,0,25.1,0
11/8/15,5:00:00,25.4,13.58,28,23.17,0,0,25.1,0
11/8/15,6:00:00,25.7,15.53,38,21.53,0,0,25.2,0
11/8/15,7:00:00,25.7,16.36,38,21.64,0,6,25.2,0
11/8/15,8:00:00,25.8,15.07,36,20.96,0.102,177,25.2,0
11/8/15,9:00:00,26.2,15.34,49,21.42,0.386,494,25.3,0
11/8/15,10:00:00,26.3,15.8,47,20.52,0.631,761,25.8,0
11/8/15,11:00:00,26.1,16.29,50,21.81,0.905,1052,25.9,0
11/8/15,12:00:00,26.1,16.94,57,23.43,1,1151,26,0
11/8/15,13:00:00,26.3,17.91,52,23.52,1.179,1334,26.2,0
11/8/15,14:00:00,26.3,15.76,48,22.71,1.062,1214,26.4,0
11/8/15,15:00:00,26.1,17.36,41,25.19,0.763,907,26.5,0
11/8/15,16:00:00,25.9,18.26,34,27.9,0.493,620,26.6,0
11/8/15,17:00:00,25.9,17.39,35,26.98,0.038,122,26.7,0
11/8/15,18:00:00,26.2,18.38,38,24.79,0,27,26.6,0
11/8/15,19:00:00,26.1,16.77,37,22.07,0,0,26.3,0
11/8/15,20:00:00,26,17.88,35,25.87,0,0,26.1,0
11/8/15,21:00:00,26.1,15.02,38,23.13,0,0,26.1,0
11/8/15,22:00:00,25.9,13.22,40,18.39,0,0,26,0
11/8/15,23:00:00,25.4,16.85,51,27.25,0,0,25.6,0
11/8/15,24:00:00,25.3,16.94,59,27.42,0,0,25.8,0
11/9/15,1:00:00,25.4,15.98,60,24.62,0,0,25.9,0
11/9/15,2:00:00,24.8,12.32,57,20.25,0,0,26,0
11/9/15,3:00:00,25.4,11.34,51,20.56,0,0,25.9,0
11/9/15,4:00:00,25.3,9.8,64,18.9,0,0,25.9,0
11/9/15,5:00:00,25.7,14.5,54,28.67,0,0,25.9,0.01
11/9/15,6:00:00,25.8,12.41,47,21.24,0,0,25.8,0.03
11/9/15,7:00:00,25.7,9.59,61,16.07,0,5,25.8,0.02
11/9/15,8:00:00,26.3,11.11,42,17.32,0.095,171,25.7,0
11/9/15,9:00:00,26.5,11.42,41,17.38,0.3,413,25.4,0
11/9/15,10:00:00,26.6,12.88,33,17.67,0.648,788,25.4,0
11/9/15,11:00:00,26.7,13.97,34,21.22,1.122,1278,25.6,0
11/9/15,12:00:00,26.6,14.61,27,19.51,0.854,1011,26,0
11/9/15,13:00:00,26.6,14.43,28,18.98,0.752,911,26.1,0
11/9/15,14:00:00,26.6,12.74,36,17.67,0.982,1144,26.2,0
11/9/15,15:00:00,26.4,13.97,55,19.44,0.732,883,26.3,0
11/9/15,16:00:00,26.2,15.32,56,25.3,0.24,363,26.4,0
11/9/15,17:00:00,25.8,16.23,49,22.45,0.048,141,26.5,0
11/9/15,18:00:00,26,13.14,50,19.75,0,21,26.5,0
11/9/15,19:00:00,26.3,13.62,46,22.1,0,0,26.4,0
11/9/15,20:00:00,26,14.73,50,23.61,0,0,26.2,0
11/9/15,21:00:00,26.4,15.54,57,21.68,0,0,26.1,0
11/9/15,22:00:00,26.5,15.98,64,21.26,0,0,26.1,0
11/9/15,23:00:00,26.5,15.39,64,21.2,0,0,26,0
11/9/15,24:00:00,26.4,14.69,62,20.85,0,0,26,0
11/10/15,1:00:00,26.3,14.66,53,20.52,0,0,25.9,0
11/10/15,2:00:00,25.9,14.89,61,21.59,0,0,25.9,0
11/10/15,3:00:00,25.8,14.18,53,22.05,0,0,25.9,0
11/10/15,4:00:00,25.9,16.37,60,22.23,0,0,25.8,0
11/10/15,5:00:00,25.9,14.83,60,21.15,0,0,25.8,0
11/10/15,6:00:00,26.1,14.79,55,22.47,0,0,25.8,0
11/10/15,7:00:00,26.2,16.05,52,22.93,0,4,25.7,0
11/10/15,8:00:00,26.2,17.18,54,24.79,0.071,150,25.6,0
11/10/15,9:00:00,26.4,16.75,58,23.1,0.275,395,25.7,0
11/10/15,10:00:00,26.5,17.76,53,22.29,0.406,542,25.8,0
11/10/15,11:00:00,26.6,17.72,51,24.64,0.801,962,25.8,0
11/10/15,12:00:00,26.7,16.55,51,22.67,0.829,996,25.9,0
11/10/15,13:00:00,26.6,17.39,47,25.71,0.683,842,26,0
11/10/15,14:00:00,26.6,18.3,37,23.5,0.553,704,26.2,0
11/10/15,15:00:00,26.5,17.7,56,24.33,0.663,809,26.3,0
11/10/15,16:00:00,26.5,17.65,56,24.2,0.502,627,26.2,0
11/10/15,17:00:00,26.4,16.6,48,21.92,0.142,242,26.2,0
11/10/15,18:00:00,26.3,17.29,48,23.7,0,26,26.2,0
11/10/15,19:00:00,26.1,15.34,48,22.88,0,0,25.9,0
11/10/15,20:00:00,26,14.5,40,21.66,0,0,25.7,0
11/10/15,21:00:00,26.1,15.15,43,21.83,0,0,25.6,0
11/10/15,22:00:00,26.1,15.89,47,22.62,0,0,25.7,0
11/10/15,23:00:00,26.1,14.25,49,20.58,0,0,25.7,0
11/10/15,24:00:00,26.1,15.2,54,21.26,0,0,25.6,0
11/11/15,1:00:00,26.1,14.4,58,19.51,0,0,25.6,0
11/11/15,2:00:00,26.1,15.73,64,22.71,0,0,25.7,0
11/11/15,3:00:00,26.2,16.04,56,21.11,0,0,25.6,0
11/11/15,4:00:00,26.2,15.21,63,20.82,0,0,25.6,0
11/11/15,5:00:00,26.1,12.23,53,18.92,0,0,25.6,0
11/11/15,6:00:00,26,14.19,53,21.68,0,0,25.6,0
11/11/15,7:00:00,26,15.42,49,21.81,0,2,25.5,0
11/11/15,8:00:00,25.7,13.57,42,22.2,0.015,78,25.3,0
11/11/15,9:00:00,26,15.55,56,24.57,0.424,541,25.3,0
11/11/15,10:00:00,26.1,16.34,47,23.56,0.436,574,25.5,0
11/11/15,11:00:00,26.4,17.33,59,22.82,0.791,945,25.6,0
11/11/15,12:00:00,26.2,17.89,65,25.21,0.778,937,25.7,0
11/11/15,13:00:00,26,18.41,58,25.14,0.646,809,25.8,0
11/11/15,14:00:00,25.9,18.48,50,23.74,0.59,744,25.9,0
11/11/15,15:00:00,26.2,19.92,50,26.19,0.595,740,26,0
11/11/15,16:00:00,26.1,16.18,51,22.58,0.385,510,26,0
11/11/15,17:00:00,26,16,49,28.41,0.033,117,26,0
11/11/15,18:00:00,25.9,15.89,53,24.94,0,18,26,0
11/11/15,19:00:00,25.9,16.66,46,24.09,0,0,25.8,0
11/11/15,20:00:00,25.9,15.26,40,26.13,0,0,25.6,0
11/11/15,21:00:00,25.9,18.64,39,29.64,0,0,25.5,0
11/11/15,22:00:00,26.1,17.47,42,23.72,0,0,25.5,0
11/11/15,23:00:00,26,17.24,43,25.38,0,0,25.5,0
11/11/15,24:00:00,25.9,15.17,48,22.38,0,0,25.5,0
11/12/15,1:00:00,25.7,15.42,45,21.88,0,0,25.2,0
11/12/15,2:00:00,25.3,15.96,42,22.56,0,0,24.8,0
11/12/15,3:00:00,25.6,15.02,40,25.25,0,0,24.7,0
11/12/15,4:00:00,25.7,14.38,42,21.42,0,0,24.8,0
11/12/15,5:00:00,25.6,13.51,44,19.2,0,0,24.8,0
11/12/15,6:00:00,25.5,13.06,39,18.74,0,0,24.9,0
11/12/15,7:00:00,25.4,12.36,34,17.95,0,2,24.7,0
11/12/15,8:00:00,25.6,13.49,36,18.46,0.084,152,24.6,0
11/12/15,9:00:00,25.7,14.32,31,20.19,0.269,379,24.7,0
11/12/15,10:00:00,26,14.67,41,20.47,0.747,886,25,0
11/12/15,11:00:00,25.9,15.26,31,22.1,0.881,1032,25.4,0
11/12/15,12:00:00,25.8,15.75,29,22.67,0.787,947,25.7,0
11/12/15,13:00:00,25.7,16.87,33,25.89,0.907,1065,25.8,0
11/12/15,14:00:00,25.5,15.77,46,25.51,0.514,658,25.8,0
11/12/15,15:00:00,25.8,15.32,37,23.41,0.629,773,25.8,0
11/12/15,16:00:00,25.7,18.75,32,23.98,0.287,413,25.8,0
11/12/15,17:00:00,25.2,18.08,34,23.17,0.057,146,25.9,0
11/12/15,18:00:00,25,15.32,32,22.86,0,17,25.8,0
11/12/15,19:00:00,25.2,16.74,39,24.57,0,0,25.5,0
11/12/15,20:00:00,25,14.91,47,27.88,0,0,25.4,0
11/12/15,21:00:00,25.5,15.11,53,21.31,0,0,25.4,0
11/12/15,22:00:00,25.5,17.14,49,23.59,0,0,25.4,0
11/12/15,23:00:00,25.3,15.44,53,26.87,0,0,25.4,0.01
11/12/15,24:00:00,25.1,14.17,47,20.54,0,0,25.4,0
11/13/15,1:00:00,25.1,12.85,42,22.1,0,0,25,0.01
11/13/15,2:00:00,25.3,14.46,44,21.57,0,0,24.7,0
11/13/15,3:00:00,25.3,13.58,37,19.09,0,0,24.7,0
11/13/15,4:00:00,25.2,13.4,31,17.47,0,0,24.6,0
11/13/15,5:00:00,24.7,12.97,24,21.33,0,0,24.5,0
11/13/15,6:00:00,24.7,13.33,20,22.64,0,0,24.4,0
11/13/15,7:00:00,25.2,12.82,35,17.23,0,3,24.5,0
11/13/15,8:00:00,25.3,12.26,40,16.75,0.036,109,24.6,0
11/13/15,9:00:00,25.6,13.9,42,19.57,0.303,413,24.8,0
11/13/15,10:00:00,25.4,16.53,45,26.55,0.535,672,25,0
11/13/15,11:00:00,25.1,14.46,55,25.76,0.435,576,25.2,0.01
11/13/15,12:00:00,26,16.54,50,21.94,0.622,771,25.4,0
11/13/15,13:00:00,25.2,17.87,52,28.58,0.584,735,25.5,0.04
11/13/15,14:00:00,25.8,19.13,57,24.97,0.815,977,25.6,0
11/13/15,15:00:00,25.9,17.94,58,23.61,0.489,633,25.7,0
11/13/15,16:00:00,25.4,17.62,61,29.57,0.136,252,25.6,0
11/13/15,17:00:00,25,17.38,65,30.53,0.033,112,25.5,0.01
11/13/15,18:00:00,25.5,18.13,52,25.05,0,11,25.4,0
11/13/15,19:00:00,25.4,18.1,49,24.53,0,0,25.4,0
11/13/15,20:00:00,25.4,17.08,54,27.73,0,0,25.3,0
11/13/15,21:00:00,25.4,17.59,50,28.04,0,0,25.2,0.02
11/13/15,22:00:00,24.7,17.26,66,25.25,0,0,25.2,0.01
11/13/15,23:00:00,25.5,18.34,49,24.59,0,0,25.2,0.02
11/13/15,24:00:00,25.4,17.97,49,27.44,0,0,25.2,0
11/14/15,1:00:00,24.9,16.48,46,25.56,0,0,25.2,0
11/14/15,2:00:00,25.3,19.83,49,27.95,0,0,24.9,0
11/14/15,3:00:00,25.3,19.3,56,26.81,0,0,25,0
11/14/15,4:00:00,25.2,18.46,49,31.17,0,0,25.1,0
11/14/15,5:00:00,25,16.96,43,28.01,0,0,24.7,0
11/14/15,6:00:00,25.5,17.05,40,25.3,0,0,24.7,0
11/14/15,7:00:00,25.7,17.94,44,28.21,0,0,24.8,0
11/14/15,8:00:00,25.7,17.43,39,26.37,0.073,133,24.4,0.02
11/14/15,9:00:00,25.8,16.69,44,23.24,0.226,329,24.5,0
11/14/15,10:00:00,26,18.09,46,24.84,0.629,761,24.7,0
11/14/15,11:00:00,26.1,19.82,54,25.62,0.79,932,25.1,0
11/14/15,12:00:00,26,20.05,55,26.02,1.113,1263,25.2,0
11/14/15,13:00:00,26.1,19.14,55,24.92,1.186,1337,25.4,0
11/14/15,14:00:00,26,18.67,52,26.17,1.045,1194,25.7,0
11/14/15,15:00:00,26,19.33,53,26.9,0.832,965,25.9,0
11/14/15,16:00:00,25.7,17.94,47,23.91,0.319,438,25.7,0
11/14/15,17:00:00,25.4,17.73,50,26.11,0.041,137,25.7,0
11/14/15,18:00:00,25.2,17.59,53,24.55,0,17,25.6,0
11/14/15,19:00:00,25.2,19.13,61,26.63,0,0,25.4,0
11/14/15,20:00:00,25.5,18.8,55,25.62,0,0,25.2,0
11/14/15,21:00:00,25.7,18.16,55,24.86,0,0,25.1,0
11/14/15,22:00:00,25.6,18.11,57,24.68,0,0,25,0
11/14/15,23:00:00,25.4,18.1,65,24.84,0,0,25,0
11/14/15,24:00:00,25.6,18.53,60,24.42,0,0,25,0
11/15/15,1:00:00,25.7,18.91,60,26.41,0,0,25,0
11/15/15,2:00:00,25.5,16.12,61,22.18,0,0,24.9,0
11/15/15,3:00:00,25.5,17.38,58,24.2,0,0,24.9,0
11/15/15,4:00:00,25.5,17.65,58,24.35,0,0,24.9,0
11/15/15,5:00:00,25.2,17.8,53,23.91,0,0,24.9,0
11/15/15,6:00:00,24.9,14.51,58,21.24,0,0,24.9,0
11/15/15,7:00:00,25.2,17.69,66,24.35,0,2,24.9,0
11/15/15,8:00:00,25.3,17.33,68,24.73,0.119,190,24.9,0
11/15/15,9:00:00,25.6,18.45,67,24.11,0.378,490,24.9,0
11/15/15,10:00:00,25.8,18.63,68,24.18,0.549,676,24.9,0
11/15/15,11:00:00,26,19.24,65,24.75,0.582,718,24.9,0
11/15/15,12:00:00,26.1,18.43,64,23.3,0.854,997,25,0
11/15/15,13:00:00,25.9,17.15,60,23.59,0.808,953,25.1,0
11/15/15,14:00:00,25.9,17.31,63,22.86,0.648,791,25.2,0
11/15/15,15:00:00,25.7,16.97,62,22.82,0.273,401,25.2,0
11/15/15,16:00:00,25,15.82,64,20.93,0.2,318,25.1,0
11/15/15,17:00:00,25.3,15.04,65,21.02,0.078,175,25.1,0
